state,city,displayName,regionTag,mapZoom
Maharashtra,Bhor,Bhor (Rajgad),Maharashtra,12
Maharashtra,Pawna,Pawna (Vagheswar),Maharashtra,12
Maharashtra,Mumbai,Mumbai (Chembur),Maharashtra,11
Bihar,Patna,Patna (Gangajal),Bihar,11
Jharkhand,Ranchi,Ranchi,Jharkhand,11
